Rank,Title,Author,Rating,Number of Ratings,Date,Description,Reviews,Pages,Cover Type,Score,Genres
13,Wuthering Heights,Emily Brontë,3.89,"1,868,574","First published December 1, 1847",At the centre of this novel is the passionate love between Catherine Earnshaw and Heathcliff - recounted with such emotional intensity that a plain tale of the Yorkshire moors acquires the depth and simplicity of ancient tragedy.,"66,191",464,Paperback,"1,181,574","Classics, Fiction, Gothic, Historical Fiction, Literature, Historical, 19th Century"
9,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.28,"668,569","First published January 1, 1956","Journeys to the end of the world, fantastic creatures, and epic battles between good and evil—what more could any reader ask for in one book? The book that has it all is ","12,868",767,Paperback,"1,462,425","Fantasy, Classics, Fiction, Young Adult, Childrens, Christian, Middle Grade"
15,The Perks of Being a Wallflower,Stephen Chbosky,4.23,"1,855,549","First published February 1, 1999",standing on the fringes of life...,"96,363",213,Paperback,"1,108,544","Young Adult, Fiction, Classics, Coming Of Age, Romance, Mental Health, Realistic Fiction"
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,"8,980,065","First published September 14, 2008","In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.","225,680",374,Hardcover,"3,918,306","Young Adult, Fiction, Fantasy, Science Fiction, Audiobook, Teen, Post Apocalyptic"
10,The Fault in Our Stars,John Green,4.13,"5,309,434","First published January 10, 2012","Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.","181,775",313,Hardcover,"1,351,602","Young Adult, Fiction, Contemporary, Realistic Fiction, Teen, Coming Of Age, Novels"
11,The Picture of Dorian Gray,Oscar Wilde,4.13,"1,619,365","First published June 1, 1890",Oscar Wilde’s only novel is the dreamlike story of a young man who sells his soul for eternal youth and beauty.,"77,099",272,Paperback,"1,258,538","Classics, Fiction, Horror, Fantasy, Gothic, Literature, Novels"
14,Gone with the Wind,Margaret Mitchell,4.31,"1,234,182","First published June 30, 1936","Scarlett O'Hara, the beautiful, spoiled daughter of a well-to-do Georgia plantation owner, must use every means at her disposal to claw her way out of the poverty she finds herself in after Sherman's March to the Sea.","25,560",1037,Mass Market Paperback,"1,172,557","Historical Fiction, Fiction, Romance, Classics, Historical, Literature, War"
12,The Giving Tree,Shel Silverstein,4.38,"1,158,557","First published January 1, 1964","""Once there was a tree...and she loved a little boy.""","22,798",64,Hardcover,"1,189,585","Childrens, Classics, Fiction, Picture Books, Poetry, Young Adult, Fantasy"
5,The Book Thief,Markus Zusak,4.39,"2,651,951","First published September 1, 2005","It is 1939. Nazi Germany. The country is holding its breath. Death has never been busier, and will be busier still.","149,348",592,Kindle Edition,"1,850,064","Historical Fiction, Fiction, Young Adult, Classics, Historical, War, World War II"
7,Animal Farm,George Orwell,3.99,"4,045,300","First published August 17, 1945","A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned –a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible. ","103,709",141,Mass Market Paperback,"1,586,615","Fiction, Dystopia, Fantasy, School, Literature, Science Fiction, Novels"
8,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,"136,605","First published January 1, 1954","This four-volume, boxed set contains J.R.R. Tolkien's epic masterworks The Hobbit and the three volumes of The Lord of the Rings (The Fellowship of the Ring, The Two Towers, and The Return of the King).","2,330",1728,Mass Market Paperback,"1,533,141","Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy, Epic Fantasy, High Fantasy"
4,To Kill a Mockingbird,Harper Lee,4.26,"6,341,902","First published July 11, 1960","The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it. ""To Kill A Mockingbird"" became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.","121,455",323,Paperback,"2,470,393","Fiction, Historical Fiction, School, Literature, Young Adult, Historical, Read For School"
6,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.66,"6,780,892","First published October 5, 2005",About three things I was absolutely positive.,"134,741",498,Paperback,"1,698,284","Fantasy, Young Adult, Romance, Fiction, Vampires, Paranormal, Paranormal Romance"
29,Romeo and Juliet,William Shakespeare,3.74,"2,662,773","First published January 1, 1597",In ,"33,584",281,Mass Market Paperback,"886,327","Plays, Fiction, Classics, School, Read For School, Literature, High School"
3,Pride and Prejudice,Jane Austen,4.29,"4,385,703","First published January 28, 1813","Since its immediate success in 1813, ","122,593",279,Paperback,"2,771,625","Fiction, Historical Fiction, Historical, Literature, Audiobook, Novels, Historical Romance"
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.50,"3,495,786","First published June 21, 2003","Harry Potter is about to start his fifth year at Hogwarts School of Witchcraft and Wizardry. Unlike most schoolboys, Harry never enjoys his summer holidays, but this summer is even worse than usual. The Dursleys, of course, are making his life a misery, but even his best friends, Ron and Hermione, seem to be neglecting him.","67,386",912,Paperback,"3,152,656","Fantasy, Young Adult, Fiction, Magic, Childrens, Audiobook, Adventure"
100,The Poisonwood Bible,Barbara Kingsolver,4.10,"758,051","First published September 24, 1998"," is a story told by the wife and four daughters of Nathan Price, a fierce, evangelical Baptist who takes his family and mission to the Belgian Congo in 1959. They carry with them everything they believe they will need from home, but soon find that all of it -- from garden seeds to Scripture -- is calamitously transformed on African soil. What follows is a suspenseful epic of one family's tragic undoing and remarkable reconstruction over the course of three decades in postcolonial Africa.","28,724",546,Paperback,"290,393","Fiction, Historical Fiction, Africa, Classics, Literary Fiction, Historical, Religion"
96,The Complete Stories and Poems,Edgar Allan Poe,4.40,"280,110","First published November 1, 1849","This single volume brings together all of Poe's stories and poems, and illuminates the diverse and multifaceted genius of one of the greatest and most influential figures in American literary history.","3,335",821,Hardcover,"304,779","Classics, Poetry, Horror, Fiction, Short Stories, Gothic, Mystery"
99,The Old Man and the Sea,Ernest Hemingway,3.80,"1,194,024","First published September 1, 1952","This short novel, already a modern classic, is the superbly told, tragic story of a Cuban fisherman in the Gulf Stream and the giant Marlin he kills and loses—specifically referred to in the citation accompanying the author's Nobel Prize for literature in 1954.","42,317",96,Hardcover,"293,031","Classics, Fiction, Literature, Novels, School, American, Adventure"
98,Don Quixote,Miguel de Cervantes Saavedra,3.90,"281,061","First published January 1, 1605","Don Quixote has become so entranced by reading chivalric romances that he determines to become a knight-errant himself. In the company of his faithful squire, Sancho Panza, his exploits blossom in all sorts of wonderful ways. While Quixote's fancy often leads him astray—he tilts at windmills, imagining them to be giants—Sancho acquires cunning and a certain sagacity. Sane madman and wise fool, they roam the world together, and together they have haunted readers' imaginations for nearly four hundred years.","12,716",1023,Paperback,"297,188","Fiction, Classics, Literature, Spanish Literature, Adventure, Historical Fiction, Novels"
95,"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,4.15,"638,161","First published September 5, 1996",Imbued on every page with Frank McCourt's astounding humor and compassion. This is a glorious book that bears all the marks of a classic.,"14,638",452,Paperback,"306,218","Nonfiction, Memoir, Biography, Classics, Ireland, Autobiography, Biography Memoir"
91,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.02,"1,552,919","First published July 1, 1995","Lyra is rushing to the cold, far North, where witch clans and armored bears rule. North, where the Gobblers take the children they steal--including her friend Roger. North, where her fearsome uncle Asriel is trying to build a bridge to a parallel world.","28,487",399,Hardcover,"316,254","Fantasy, Young Adult, Fiction, Childrens, Adventure, Middle Grade, Audiobook"
94,Siddhartha,Hermann Hesse,4.07,"797,800","First published October 1, 1922","Herman Hesse's classic novel has delighted, inspired, and influenced generations of readers, writers, and thinkers. In this story of a wealthy Indian Brahmin who casts off a life of privilege to seek spiritual fulfillment. Hesse synthesizes disparate philosophies--Eastern religions, Jungian archetypes, Western individualism--into a unique vision of life as expressed through one man's search for true meaning.","28,808",152,Mass Market Paperback,"310,564","Classics, Fiction, Philosophy, Spirituality, Religion, Literature, Buddhism"
93,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.11,"657,360","First published August 16, 2007","Lissa Dragomir is a Moroi princess: a mortal vampire with a rare gift for harnessing the earth's magic. She must be protected at all times from Strigoi; the fiercest vampires—the ones who never die. The powerful blend of human and vampire blood that flows through Rose Hathaway, Lissa's best friend, makes her a dhampir. Rose is dedicated to a dangerous life of protecting Lissa from the Strigoi, who are hell-bent on making Lissa one of them.","27,159",332,Paperback,"311,802","Young Adult, Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Fiction"
90,It,Stephen        King,4.24,"1,155,363","First published September 15, 1986","Welcome to Derry, Maine ...","37,734",1116,Paperback,"317,577","Horror, Fiction, Thriller, Fantasy, Classics, Audiobook, Mystery"
86,And Then There Were None,Agatha Christie,4.28,"1,427,088","First published November 6, 1939","First, there were ten—a curious assortment of strangers summoned as weekend guests to a little private island off the coast of Devon. Their host, an eccentric millionaire unknown to all of them, is nowhere to be found. All that the guests have in common is a wicked past they're unwilling to reveal—and a secret that will seal their fate. For each has been marked for murder. A famous nursery rhyme is framed and hung in every room of the mansion:","69,406",264,Paperback,"342,325","Mystery, Fiction, Thriller, Crime, Mystery Thriller, Classics, Audiobook"
88,The Road,Cormac McCarthy,3.99,"940,432","First published September 26, 2006","A searing, postapocalyptic novel destined to become Cormac McCarthy’s masterpiece.","62,921",241,Hardcover,"334,313","Fiction, Science Fiction, Dystopia, Post Apocalyptic, Horror, Literature, Novels"
97,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.02,"606,955","First published April 12, 1976","This is the story of Louis, as told in his own words, of his journey through mortal and immortal life. Louis recounts how he became a vampire at the hands of the radiant and sinister Lestat and how he became indoctrinated, unwillingly, into the vampire way of life. His story ebbs and flows through the streets of New Orleans, defining crucial moments such as his discovery of the exquisite lost young child Claudia, wanting not to hurt but to comfort her with the last breaths of humanity he has inside. Yet, he makes Claudia a vampire, trapping her womanly passion, will, and intelligence inside the body of a small child. Louis and Claudia form a seemingly unbreakable alliance and even ""settle down"" for a while in the opulent French Quarter. Louis remembers Claudia's struggle to understand herself and the hatred they both have for Lestat that sends them halfway across the world to seek others of their kind. Louis and Claudia are desperate to find somewhere they belong, to find others who understand, and someone who knows what and why they are.","17,902",346,Paperback,"300,215","Horror, Fantasy, Fiction, Vampires, Paranormal, Classics, Gothic"
89,To Kill a Mockingbird,Harper Lee,4.26,"6,341,902","First published July 11, 1960","'Shoot all the bluejays you want, if you can hit 'em, but remember it's a sin to kill a mockingbird.'","121,455",323,Paperback,"327,219","Fiction, Historical Fiction, School, Literature, Young Adult, Historical, Read For School"
92,"The Shining (The Shining, #1)",Stephen        King,4.27,"1,547,468","First published January 28, 1977","Jack Torrance's new job at the Overlook Hotel is the perfect chance for a fresh start. As the off-season caretaker at the atmospheric old hotel, he'll have plenty of time to spend reconnecting with his family and working on his writing. But as the harsh winter weather sets in, the idyllic location feels ever more remote...and more sinister. And the only one to notice the strange and terrible forces gathering around the Overlook is Danny Torrance, a uniquely gifted five-year-old.","41,401",497,Paperback,"314,378","Horror, Fiction, Thriller, Classics, Fantasy, Paranormal, Mystery"
85,A Tree Grows in Brooklyn,Betty  Smith,4.30,"478,576","First published August 18, 1943","The beloved American classic about a young girl's coming-of-age at the turn of the century, Betty Smith's ","28,600",496,Paperback,"343,952","Fiction, Historical Fiction, Classics, Young Adult, Coming Of Age, Historical, New York"
87,A Clockwork Orange,Anthony Burgess,4.00,"729,153","First published January 1, 1962","In Anthony Burgess's influential nightmare vision of the future, criminals take over after dark. Teen gang leader Alex narrates in fantastically inventive slang that echoes the violent intensity of youth rebelling against society. Dazzling and transgressive, ","21,901",240,Paperback,"340,381","Fiction, Science Fiction, Dystopia, Horror, Literature, Novels, Modern Classics"
84,The Brothers Karamazov,Fyodor Dostoevsky,4.37,"343,093","First published January 1, 1880","The Brothers Karamazov is a murder mystery, a courtroom drama, and an exploration of erotic rivalry in a series of triangular love affairs involving the “wicked and sentimental” Fyodor Pavlovich Karamazov and his three sons―the impulsive and sensual Dmitri; the coldly rational Ivan; and the healthy, red-cheeked young novice Alyosha. Through the gripping events of their story, Dostoevsky portrays the whole of Russian life, is social and spiritual striving, in what was both the golden age and a tragic turning point in Russian culture.","19,971",796,Paperback,"357,877","Fiction, Russia, Russian Literature, Classics, Literature, Philosophy, Novels"
83,My Sister’s Keeper,Jodi Picoult,4.10,"1,238,260","First published April 6, 2004", best-selling author Jodi Picoult is widely acclaimed for her keen insights into the hearts and minds of real people. Now she tells the emotionally riveting story of a family torn apart by conflicting needs and a passionate love that triumphs over human weakness. ,"38,386",423,Paperback,"369,894","Fiction, Chick Lit, Young Adult, Drama, Adult, Adult Fiction, Realistic Fiction"
82,Anna Karenina,Leo Tolstoy,4.09,"869,804","First published January 1, 1878","Acclaimed by many as the world's greatest novel, ","37,322",964,Paperback,"379,578","Fiction, Romance, Russia, Historical Fiction, Russian Literature, Literature, Novels"
199,"Oh, the Places You’ll Go!",Dr. Seuss,4.37,"417,174","First published January 22, 1990","In his inimitable, humorous verse and pictures, he addresses the Great Balancing Act (life itself, and the ups and downs it presents) while encouraging us to find the success that lies within us.","6,588",44,Hardcover,"89,549","Childrens, Picture Books, Fiction, Classics, Poetry, Fantasy, Young Adult"
200,The Neverending Story,Michael Ende,4.18,"207,034","First published September 1, 1979",This epic work of the imagination has captured the hearts of millions of readers worldwide since it was first published. Its special story within a story is an irresistible invitation for readers to become part of the book itself. ,"10,015",396,Hardcover,"88,563","Fantasy, Classics, Fiction, Young Adult, Childrens, Adventure, German Literature"
198,The Phantom Tollbooth,Norton Juster,4.20,"292,955","First published January 1, 1961",This beloved story -first published more than fifty years ago- introduces readers to Milo and his adventures in the Lands Beyond. ,"13,787",248,Paperback,"90,090","Fantasy, Fiction, Classics, Childrens, Young Adult, Middle Grade, Adventure"
197,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,4.25,"560,107","First published July 1, 1988","A serial murderer known only by a grotesquely apt nickname—Buffalo Bill—is stalking women. He has a purpose, but no one can fathom it, for the bodies are discovered in different states. Clarice Starling, a young trainee at the FBI Academy, is surprised to be summoned by Jack Crawford, chief of the Bureau's Behavioral Science section. Her assignment: to interview Dr. Hannibal Lecter—Hannibal the Cannibal—who is kept under close watch in the Baltimore State Hospital for the Criminally Insane.","10,256",421,Paperback,"90,381","Horror, Fiction, Thriller, Mystery, Crime, Classics, Mystery Thriller"
196,The Joy Luck Club,Amy Tan,3.97,"691,353","First published January 1, 1989","Four mothers, four daughters, four families, whose histories shift with the four winds depending on who's telling the stories. In 1949, four Chinese women, recent immigrants to San Francisco, meet weekly to play mahjong and tell stories of what they left behind in China. United in loss and new hope for their daughters' futures, they call themselves the Joy Luck Club. Their daughters, who have never heard these stories, think their mothers' advice is irrelevant to their modern American lives – until their own inner crises reveal how much they've unknowingly inherited of their mothers' pasts. ","13,902",352,Paperback,"90,454","Fiction, Historical Fiction, Classics, China, Contemporary, Historical, Adult Fiction"
191,The Call of the Wild,Jack London,3.91,"441,990","First published January 1, 1903","First published in 1903, ","16,266",172,Mass Market Paperback,"92,099","Fiction, Classics, Adventure, Young Adult, Animals, Historical Fiction, Literature"
192,"The Selection (The Selection, #1)",Kiera Cass,4.08,"1,618,457","First published April 24, 2012","For thirty-five girls, the Selection is the chance of a lifetime. The opportunity to escape the life laid out for them since birth. To be swept up in a world of glittering gowns and priceless jewels. To live in a palace and compete for the heart of gorgeous Prince Maxon.","81,987",336,Hardcover,"91,545","Romance, Young Adult, Dystopia, Fantasy, Fiction, Audiobook, Science Fiction"
194,"The Good Earth (House of Earth, #1)",Pearl S. Buck,4.00,"253,075","First published March 2, 1931","This tells the poignant tale of a Chinese farmer and his family in old agrarian China. The humble Wang Lung glories in the soil he works, nurturing the land as it nurtures him and his family. Nearby, the nobles of the House of Hwang consider themselves above the land and its workers; but they will soon meet their own downfall.","11,954",418,Paperback,"90,899","Fiction, Historical Fiction, China, Classics, Literature, Historical, Asia"
190,"Blood Promise (Vampire Academy, #4)",Richelle Mead,4.30,"317,847","First published August 25, 2009","The world thought Dimitri was dead. And to a certain extent, he was. But I hadn't been able to forget a conversation he and I had once had. We'd both agreed that we'd rather be dead - truly dead - than walk the world as Strigoi. It was time to honor our words.","11,578",503,Hardcover,"92,552","Young Adult, Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Paranormal Romance"
193,The Night Circus,Erin Morgenstern,4.01,"1,012,462","First published September 13, 2011","The circus arrives without warning. No announcements precede it. It is simply there, when yesterday it was not. Within the black-and-white striped canvas tents is an utterly unique experience full of breathtaking amazements. It is called Le Cirque des Rêves, and it is only open at night. ","108,019",506,Hardcover,"91,419","Fantasy, Fiction, Romance, Historical Fiction, Magic, Young Adult, Audiobook"
189,The Prophet,Kahlil Gibran,4.23,"307,252","First published January 1, 1923","Kahlil Gibran’s masterpiece, ","15,190",127,Paperback,"93,033","Poetry, Classics, Philosophy, Fiction, Spirituality, Religion, Literature"
188,Tess of the D’Urbervilles,Thomas Hardy,3.83,"289,633","First published January 1, 1891",Alternate covers can be found ,"12,285",518,Paperback,"95,239","Fiction, Classics, Literature, Historical Fiction, 19th Century, Victorian, Novels"
195,Alice in Wonderland,Jane Carruth,4.03,"392,396","First published January 1, 1865",.,"5,614",96,Hardcover,"90,593","Classics, Fantasy, Fiction, Childrens, Young Adult, Adventure, Literature"
187,Heart of Darkness,Joseph Conrad,3.43,"524,719","First published January 1, 1899","Heart of Darkness, a novel by Joseph Conrad, was originally a three-part series in Blackwood's Magazine in 1899. It is a story within a story, following a character named Charlie Marlow, who recounts his adventure to a group of men onboard an anchored ship. The story told is of his early life as a ferry boat captain. Although his job was to transport ivory downriver, Charlie develops an interest in investing an ivory procurement agent, Kurtz, who is employed by the government. Preceded by his reputation as a brilliant emissary of progress, Kurtz has now established himself as a god among the natives in “one of the darkest places on earth.” Marlow suspects something else of Kurtz: he has gone mad.","21,563",188,Paperback,"95,672","Fiction, Classics, Literature, Historical Fiction, Africa, School, Novels"
185,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.20,"652,823","First published January 1, 1934","Just after midnight, a snowdrift stops the famous Orient Express in its tracks as it travels through the mountainous Balkans. The luxurious train is surprisingly full for the time of the year but, by the morning, it is one passenger fewer. An American tycoon lies dead in his compartment, stabbed a dozen times, his door locked from the inside.","42,636",274,Paperback,"96,877","Mystery, Fiction, Crime, Mystery Thriller, Audiobook, Thriller, Detective"
268,She’s Come Undone,Wally Lamb,3.91,"351,021","First published August 24, 1992","In this extraordinary coming-of-age odyssey, Wally Lamb invites us to hitch a wild ride on a journey of love, pain, and renewal with the most heartbreakingly comical heroine to come along in years.","11,503",465,Mass Market Paperback,"57,635","Fiction, Contemporary, Chick Lit, Coming Of Age, Adult Fiction, Novels, Adult"
300,Never Let Me Go,Kazuo Ishiguro,3.85,"737,386","First published April 5, 2005","Hailsham seems like a pleasant English boarding school, far from the influences of the city. Its students are well tended and supported, trained in art and literature, and become just the sort of people the world wants them to be. But, curiously, they are taught nothing of the outside world and are allowed little contact with it.","58,053",288,Paperback,"50,089","Fiction, Science Fiction, Dystopia, Contemporary, Literary Fiction, Romance, Classics"
204,Oliver Twist,Charles Dickens,3.88,"401,391","First published January 1, 1838","A gripping portrayal of London's dark criminal underbelly, published in Penguin Classics with an introduction by Philip Horne.","11,210",608,Paperback,"87,328","Classics, Fiction, Historical Fiction, Literature, Novels, 19th Century, Classic Literature"
299,Blood River: A Journey to Africa’s Broken Heart,Tim Butcher,3.98,"11,576","First published July 3, 2007",A compulsively readable account of a journey to the Congo — a country virtually inaccessible to the outside world — vividly told by a daring and adventurous journalist.,847,363,Paperback,"50,415","Travel, Nonfiction, Africa, History, Adventure, Memoir, Biography"
186,Bridge to Terabithia,Katherine Paterson,4.05,"559,214","First published October 21, 1977", ,"17,067",190,Kindle Edition,"96,130","Fiction, Young Adult, Classics, Fantasy, Childrens, Middle Grade, Realistic Fiction"
297,Uncle Tom’s Cabin,Harriet Beecher Stowe,3.91,"231,677","First published January 1, 1852","The narrative drive of Stowe's classic novel is often overlooked in the heat of the controversies surrounding its anti-slavery sentiments. In fact, it is a compelling adventure story with richly drawn characters and has earned a place in both literary and American history. Stowe's religious beliefs show up in the novel's final, overarching theme—the exploration of the nature of Christianity and how Christian theology is fundamentally incompatible with slavery.","10,146",438,Paperback,"50,642","Classics, Fiction, Historical Fiction, Literature, Historical, Novels, American"
298,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,4.01,"695,529","First published May 26, 2011","The new Abby Abernathy is a good girl. She doesn’t drink or swear, and she has the appropriate number of cardigans in her wardrobe. Abby believes she has enough distance from the darkness of her past, but when she arrives at college with her best friend, her path to a new beginning is quickly challenged by Eastern University's Walking One-Night Stand. ","34,900",432,Kindle Edition,"50,600","Romance, New Adult, Contemporary, Young Adult, Contemporary Romance, College, Fiction"
296,White Oleander,Janet Fitch,4.00,"357,896","First published July 1, 1999","Everywhere hailed as a novel of rare beauty and power, ","9,506",446,Paperback,"50,654","Fiction, Coming Of Age, Contemporary, Literary Fiction, Drama, Adult Fiction, Chick Lit"
295,The Things They Carried,Tim O'Brien,4.14,"323,357","First published March 28, 1990","A classic work of American literature that has not stopped changing minds and lives since it burst onto the literary scene, The Things They Carried is a ground-breaking meditation on war, memory, imagination, and the redemptive power of storytelling. ","19,614",246,Paperback,"51,280","Fiction, Historical Fiction, Classics, War, Short Stories, School, Historical"
293,"Delirium (Delirium, #1)",Lauren Oliver,3.95,"471,098","First published February 3, 2011","In an alternate United States, love has been declared a dangerous disease, and the government forces everyone who reaches eighteen to have a procedure called the Cure. Living with her aunt, uncle, and cousins in Portland, Maine, Lena Haloway is very much looking forward to being cured and living a safe, predictable life. She watched love destroy her mother and isn't about to make the same mistake.","28,973",441,Paperback,"51,492","Young Adult, Dystopia, Romance, Fantasy, Science Fiction, Fiction, Teen"
290,"Neverwhere (London Below, #1)",Neil Gaiman,4.17,"543,267","First published September 16, 1996","Under the streets of London there's a world most people could never even dream of. A city of monsters and saints, murderers and angels, knights in armour and pale girls in black velvet. ","30,504",370,Paperback,"52,141","Fantasy, Fiction, Urban Fantasy, Audiobook, Science Fiction Fantasy, Horror, Science Fiction"
294,King Lear,William Shakespeare,3.91,"224,235","First published January 1, 1605","Shakespeare’s King Lear challenges us with the magnitude, intensity, and sheer duration of the pain that it represents. Its figures harden their hearts, engage in violence, or try to alleviate the suffering of others. Lear himself rages until his sanity cracks. What, then, keeps bringing us back to King Lear? For all the force of its language, King Lear is almost equally powerful when translated, suggesting that it is the story, in large part, that draws us to the play.","7,418",339,Mass Market Paperback,"51,359","Plays, Fiction, Classics, School, Theatre, Literature, Poetry"
288,The Idiot,Fyodor Dostoevsky,4.21,"191,374","First published January 1, 1869","Returning to Russia from a sanitarium in Switzerland, the Christ-like epileptic Prince Myshkin finds himself enmeshed in a tangle of love, torn between two women—the notorious kept woman Nastasya and the pure Aglaia—both involved, in turn, with the corrupt, money-hungry Ganya. In the end, Myshkin’s honesty, goodness, and integrity are shown to be unequal to the moral emptiness of those around him. In her revision of the Garnett translation, Anna Brailovsky has corrected inaccuracies wrought by Garnett’s drastic anglicization of the novel, restoring as much as possible the syntactical structure of the original story.","9,629",667,Paperback,"52,888","Fiction, Russia, Russian Literature, Literature, Classics, Philosophy, Novels"
292,"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,4.10,"205,587","First published January 1, 1985","Lestat. The vampire hero of Anne Rice's enthralling new novel is a creature of the darkest and richest imagination. Once an aristocrat in the heady days of pre-revolutionary France, now a rock star in the demonic, shimmering 1980s, he rushes through the centuries in search of others like him, seeking answers to the mystery of his eternal, terrifying existence. His is a mesmerizing story --- passionate, complex, and thrilling.","5,837",481,Mass Market Paperback,"51,829","Horror, Fantasy, Vampires, Fiction, Paranormal, Supernatural, Gothic"
291,"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,4.24,"747,581","First published May 1, 2007",The stunning third and final novel in Stieg Larsson's internationally best-selling trilogy.,"31,845",566,Hardcover,"52,007","Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Audiobook"
289,"Inkheart (Inkworld, #1)",Cornelia Funke,3.92,"430,373","First published September 23, 2003",Alternate cover edition: ,"14,802",563,Paperback,"52,776","Fantasy, Young Adult, Fiction, Middle Grade, Childrens, Adventure, Magic"
286,Into the Wild,Jon Krakauer,4.01,"1,117,041","First published January 13, 1996","In April, 1992, a young man from a well-to-do family hitchhiked to Alaska and walked alone into the wilderness north of Mt. McKinley. His name was Christopher Johnson McCandless. He had given $25,000 in savings to charity, abandoned his car and most of his possessions, burned all the cash in his wallet, and invented a new life for himself. Four months later, a party of moose hunters found his decomposed body. How McCandless came to die is the unforgettable story of ","29,822",207,Paperback,"52,905","Nonfiction, Biography, Adventure, Classics, Memoir, Nature, School"
287,Invisible Man,Ralph Ellison,3.91,"192,160","First published April 14, 1952","First published in 1952 and immediately hailed as a masterpiece, ","8,685",581,Paperback,"52,894","Fiction, Classics, Literature, Historical Fiction, Race, African American, Novels"
283,The Complete Sherlock Holmes,Arthur Conan Doyle,4.50,"209,603","First published January 1, 1905",A study in scarlet --,"5,184",1796,Paperback,"53,502","Classics, Mystery, Fiction, Crime, Short Stories, Audiobook, Detective"
284,Stranger in a Strange Land,Robert A. Heinlein,3.92,"316,889","First published July 1, 1961","Valentine Michael Smith is a human being raised on Mars, newly returned to Earth. Among his people for the first time, he struggles to understand the social mores and prejudices of human nature that are so alien to him, while teaching them his own fundamental beliefs in grokking, watersharing, and love.","10,324",525,Paperback,"53,388","Science Fiction, Fiction, Classics, Science Fiction Fantasy, Fantasy, Audiobook, Novels"
285,Othello,William Shakespeare,3.89,"403,452","First published January 1, 1603","In Othello, Shakespeare creates a powerful drama of a marriage that begins with fascination (between the exotic Moor Othello and the Venetian lady Desdemona), with elopement, and with intense mutual devotion and that ends precipitately with jealous rage and violent deaths. He sets this story in the romantic world of the Mediterranean, moving the action from Venice to the island of Cyprus and giving it an even more exotic coloring with stories of Othello's African past. Shakespeare builds so many differences into his hero and heroine—differences of race, of age, of cultural background—that one should not, perhaps, be surprised that the marriage ends disastrously. But most people who see or read the play feel that the love that the play presents between Othello and Desdemona is so strong that it would have overcome all these differences were it not for the words and actions of Othello's standard-bearer, Iago, who hates Othello and sets out to destroy him by destroying his love for Desdemona. As Othello succumbs to Iago's insinuations that Desdemona is unfaithful, fascination—which dominates the early acts of the play—turns to horror, especially for the audience. We are confronted by spectacles of a generous and trusting Othello in the grip of Iago's schemes; of an innocent Desdemona, who has given herself up entirely to her love for Othello only to be subjected to his horrifying verbal and physical assaults, the outcome of Othello's mistaken convictions about her faithlessness.","11,205",319,Mass Market Paperback,"53,186","Classics, Plays, Fiction, School, Theatre, Literature, Read For School"
399,Cold Mountain,Charles Frazier,3.89,"245,139","First published January 1, 1997"," is a novel about a soldier’s perilous journey back to his beloved near the Civil War's end. At once a love story & a harrowing account of one man’s long walk home, Cold Mountain introduces a new talent in American literature.","6,721",449,Paperback,"33,454","Historical Fiction, Fiction, Historical, Romance, Civil War, War, Classics"
