Rank,Title,Author,Rating,Number of Ratings,Date,Description,Reviews,Pages,Cover Type,Score,Genres
941,"Dreamfever (Fever, #4)",Karen Marie Moning,4.38,"103,663","First published August 18, 2009","MacKayla Lane lies naked on the cold stone floor of a church, at the mercy of the erotic Fae master she once swore to kill. Far from home, unable to control her sexual hungers, MacKayla is now fully under the Lord Master’s spell.…In New York Times bestselling author Karen Marie Moning’s stunning new novel, the walls between human and Fae worlds have come crashing down. And as Mac fights for survival on Dublin’s battle-scarred streets, she will embark on the darkest—and most erotically charged—adventure of her life.","5,353",386,Hardcover,"9,213","Fantasy, Urban Fantasy, Paranormal, Romance, Fae, Paranormal Romance, Adult"
942,Shakespeare's Sonnets,William Shakespeare,4.26,"113,521","First published January 1, 1609","The Arden Shakespeare has long been acclaimed as the established scholarly edition of Shakespeare's work. Now being totally reedited for the third time, Arden editions offer the very best in contemporary scholarship. Each volume provides a clear and authoritative text, edited to the highest standards; detailed textual notes and commentary on the same page of the text; full contextual, illustrated introduction, including an in-depth survey of critical and performance approaches to the play; and selected bibliography.","2,153",488,Paperback,"9,188","Poetry, Classics, Fiction, Literature, Romance, Plays, British Literature"
943,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.27,"445,025","First published January 1, 1990","Falling in love is easy. Staying in love—that’s the challenge. How can you keep your relationship fresh and growing amid the demands, conflicts, and just plain boredom of everyday life?","17,861",232,Kindle Edition,"9,160","Relationships, Nonfiction, Marriage, Christian, Self Help, Personal Development, Love"
940,"The Millennium Trilogy (Millennium Trilogy, #1-3)",Stieg Larsson,4.47,"56,185","First published November 7, 2005",Stieg Larsson’s Millennium Trilogy is now available in a complete hardcover set.,"1,932",1531,Hardcover,"9,260","Fiction, Mystery, Thriller, Crime, Suspense, Mystery Thriller, Contemporary"
938,The Sorrows of Young Werther,Johann Wolfgang von Goethe,3.69,"137,647","First published January 1, 1774","This is Goethe's first novel, published in 1774. Written in diary form, it tells the tale of an unhappy, passionate young man hopelessly in love with Charlotte, the wife of a friend - a man who he alternately admires and detests. 'The Sorrows of Young Werther' became an important part of the 'Sturm und Drang movement, and greatly influenced later 'Romanticism'. The work is semi-autobiographical - in 1772, two years before the novel was published, Goethe had passed through a similar tempestuous period, when he lost his heart to Charlotte Buff, who was at that time engaged to his friend Johann Christian Kestner.","9,259",149,Paperback,"9,268","Fiction, German Literature, Classics, Literature, Romance, Germany, Novels"
939,"Specials (Uglies, #3)",Scott Westerfeld,3.76,"195,125","First published May 9, 2006","""Special Circumstances"": The words have sent chills down Tally's spine since her days as a repellent, rebellious ugly. Back then Specials were a sinister rumor -- frighteningly beautiful, dangerously strong, breathtakingly fast. Ordinary pretties might live their whole lives without meeting a Special. But Tally's never been ordinary.","8,906",384,Hardcover,"9,264","Young Adult, Dystopia, Science Fiction, Fiction, Fantasy, Romance, Teen"
936,"The City of Ember (Book of Ember, #1)",Jeanne DuPrau,3.89,"287,300","First published May 13, 2003","Many hundreds of years ago, the city of Ember was created by the Builders to contain everything needed for human survival. It worked…but now the storerooms are almost out of food, crops are blighted, corruption is spreading through the city and worst of all—the lights are failing. Soon Ember could be engulfed by darkness…","13,416",270,Paperback,"9,292","Young Adult, Fantasy, Dystopia, Science Fiction, Fiction, Middle Grade, Childrens"
933,Turtles All the Way Down,John Green,3.88,"595,069","First published October 10, 2017","JOHN GREEN, the acclaimed author of Looking for Alaska and The Fault in Our Stars, returns with a story of shattering, unflinching clarity in this brilliant novel of love, resilience, and the power of lifelong friendship.","53,604",290,Hardcover,"9,313","Young Adult, Fiction, Contemporary, Mental Health, Romance, Audiobook, Realistic Fiction"
935,Thus Spoke Zarathustra,Friedrich Nietzsche,4.07,"157,622","First published January 1, 1883","Friedrich Nietzsche's most accessible and influential philosophical work, misquoted, misrepresented, brilliantly original and enormously influential, ","5,865",327,Paperback,"9,303","Philosophy, Classics, Nonfiction, German Literature, Literature, Psychology, Religion"
937,"The Reckoning (Darkest Powers, #3)",Kelley Armstrong,4.18,"117,459","First published April 6, 2010","Chloe Saunders is fifteen and would love to be normal. Unfortunately, Chloe happens to be a genetically engineered necromancer who can raise the dead without even trying. She and her equally gifted (or should that be 'cursed'?) friends are now running for their lives from the evil corporation that created them.","3,840",391,Mass Market Paperback,"9,273","Young Adult, Fantasy, Paranormal, Urban Fantasy, Romance, Supernatural, Magic"
934,The Hotel New Hampshire,John Irving,3.93,"66,533","First published January 1, 1981","“The first of my father’s illusions was that bears could survive the life lived by human beings, and the second was that human beings could survive a life led in hotels.” So says John Berry, son of a hapless dreamer, brother to a cadre of eccentric siblings, and chronicler of the lives lived, the loves experienced, the deaths met, and the myriad strange and wonderful times encountered by the family Berry. Hoteliers, pet-bear owners, friends of Freud (the animal trainer and vaudevillian, that is), and playthings of mad fate, they “dream on” in a funny, sad, outrageous, and moving novel by the remarkable author of A Prayer for Owen Meany and Last Night in Twisted River.","2,173",520,Paperback,"9,307","Fiction, Contemporary, Classics, Literature, Literary Fiction, Novels, American"
932,The Midnight Library,Matt Haig,3.99,"1,963,108","First published August 13, 2020",Between life and death there is a library.,"201,121",288,Hardcover,"9,331","Fiction, Fantasy, Audiobook, Contemporary, Magical Realism, Science Fiction, Adult"
930,"The Awakening (Darkest Powers, #2)",Kelley Armstrong,4.14,"116,359","First published April 28, 2009","If you had met me a few weeks ago, you probably would have described me as an average teenage girl - someone normal. Now my life has changed forever and I’m as far away from normal as it gets. A living science experiment - not only can I see ghosts, but I was genetically altered by a sinister organization called Edison Group. What does that mean? For starters. I'm a teenage necromancer whose powers are out of control: I raise the dead without even trying. Trust me, that is not a power you want to have. Ever.","3,521",360,Hardcover,"9,344","Young Adult, Fantasy, Paranormal, Urban Fantasy, Supernatural, Romance, Magic"
931,A Room of One’s Own,Virginia Woolf,4.21,"221,317","First published October 24, 1929"," is an extended essay by Virginia Woolf. First published on the 24th of October, 1929, the essay was based on a series of lectures she delivered at Newnham College and Girton College, two women's colleges at Cambridge University in October 1928. While this extended essay in fact employs a fictional narrator and narrative to explore women both as writers and characters in fiction, the manuscript for the delivery of the series of lectures, titled Women and Fiction, and hence the essay, are considered nonfiction. The essay is seen as a feminist text, and is noted in its argument for both a literal and figural space for women writers within a literary tradition dominated by patriarchy.","19,321",112,Paperback,"9,332","Classics, Nonfiction, Feminism, Essays, Philosophy, Writing, Literature"
928,Cold Sassy Tree,Olive Ann Burns,4.02,"104,096","First published January 1, 1984","The one thing you can depend on in Cold Sassy, Georgia, is that word gets around--fast. When Grandpa E. Rucker Blakeslee announces one July morning in 1906 that he's aiming to marry the young and freckledy milliner, Miss Love Simpson--a bare three weeks after Granny Blakeslee has gone to her reward--the news is served up all over town with that afternoon's dinner. And young Will Tweedy suddenly finds himself eyewitness to a major scandal. Boggled by the sheer audacity of it all, and not a little jealous of his grandpa's new wife, Will nevertheless approves of this May-December match and follows its progress with just a smidgen of youthful prurience. As the newlyweds' chaperone, conspirator, and confidant, Will is privy to his one-armed, renegade grandfather's second adolescence; meanwhile, he does some growing up of his own. He gets run over by a train and lives to tell about it; he kisses his first girl, and survives that too. Olive Ann Burns has given us a timeless, funny, resplendent novel - about a romance that rocks an entire town, about a boy's passage through the momentous but elusive year when childhood melts into adolescence, and about just how people lived and died in a small Southern town at the turn of the century. Inhabited by characters who are wise and loony, unimpeachably pious and deliciously irreverent, Cold Sassy, Georgia, is the perfect setting for the debut of a storyteller of rare brio, exuberance, and style.","4,598",405,Paperback,"9,365","Fiction, Historical Fiction, Classics, Southern, Historical, Adult Fiction, Audiobook"
927,Nausea,Jean-Paul Sartre,3.94,"124,822","First published January 1, 1938"," is the story of Antoine Roquentin, a French writer who is horrified at his own existence. In impressionistic, diary form he ruthlessly catalogues his every feeling and sensation about the world and people around him. ","6,402",178,Hardcover,"9,399","Philosophy, Fiction, Classics, France, Literature, French Literature, Novels"
928,"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,4.14,"459,674","First published January 1, 1887","Our first meeting with Sherlock Holmes. And John Watson's too! The young doctor is astonished by Holmes' many idiosyncrasies, including his talents on the violin.","18,194",123,Paperback,"9,365","Mystery, Fiction, Crime, Classics, Audiobook, Mystery Thriller, Historical Fiction"
926,"Absalom, Absalom!",William Faulkner,3.98,"45,421","First published May 1, 1936","Published in 1936, Absalom, Absalom! is considered by many to be William Faulkner's masterpiece. Although the novel's complex and fragmented structure poses considerable difficulty to readers, the book's literary merits place it squarely in the ranks of America's finest novels. The story concerns Thomas Sutpen, a poor man who finds wealth and then marries into a respectable family. His ambition and extreme need for control bring about his ruin and the ruin of his family. Sutpen's story is told by several narrators, allowing the reader to observe variations in the saga as it is recounted by different speakers. This unusual technique spotlights one of the novel's central questions: To what extent can people know the truth about the past?","2,955",316,Paperback,"9,406","Classics, Fiction, Literature, Novels, American, Historical Fiction, Southern Gothic"
921,"Kane & Abel (Kane & Abel, #1)",Jeffrey Archer,4.34,"124,615","First published January 1, 1979","Born on the same day near the turn of the century on opposite sides of the world, both men are brought together by fate and the quest of a dream. These two men -- ambitious, powerful, ruthless -- are locked in a relentless struggle to build an empire, fuelled by their all-consuming hatred. Over 60 years and three generations, through war, marriage, fortune, and disaster, Kane and Abel battle for the success and triumph that only one man can have.","6,147",592,Paperback,"9,481","Fiction, Historical Fiction, Thriller, Drama, Classics, Historical, Novels"
924,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,4.06,"418,671","First published May 5, 1998","The Appalachian Trail stretches from Georgia to Maine and covers some of the most breathtaking terrain in America—majestic mountains, silent forests, sparking lakes. If you’re going to take a hike, it’s probably the place to go. And Bill Bryson is surely the most entertaining guide you’ll find. He introduces us to the history and ecology of the trail and to some of the other hardy (or just foolhardy) folks he meets along the way—and a couple of bears. Already a classic, ","22,766",397,Mass Market Paperback,"9,458","Nonfiction, Travel, Memoir, Humor, Nature, Adventure, Audiobook"
922,The Maltese Falcon,Dashiell Hammett,3.87,"109,514","First published January 1, 1930","Sam Spade is hired by the fragrant Miss Wonderley to track down her sister, who has eloped with a louse called Floyd Thursby. But Miss Wonderley is in fact the beautiful and treacherous Brigid O'Shaughnessy, and when Spade's partner Miles Archer is shot while on Thursby's trail, Spade finds himself both hunter and hunted: can he track down the jewel-encrusted bird, a treasure worth killing for, before the Fat Man finds him?","6,818",213,Paperback,"9,475","Mystery, Fiction, Classics, Crime, Noir, Detective, Mystery Thriller"
925,Revolutionary Road,Richard Yates,3.93,"89,771","First published December 31, 1961","In the hopeful 1950s, Frank and April Wheeler appear to be a model American couple: bright, beautiful, talented, with two young children and a starter home in the suburbs. Perhaps they married too young and started a family too early. Maybe Frank's job is dull. And April never saw herself as a housewife. Yet they have always lived on the assumption that greatness is only just around the corner. But now that certainty is now about to crumble. With heartbreaking compassion and remorseless clarity, Richard Yates shows how Frank and April mortgage their spiritual birthright, betraying not only each other, but their best selves.","7,758",355,Paperback,"9,436","Fiction, Classics, Historical Fiction, Novels, American, Literary Fiction, Literature"
920,Marked by Magic (Tracking Trouble #1),Lindsay Buroker,4.33,"4,347","First published November 9, 2023","Arwen Forester may be a socially awkward introvert, but she’s an expert tracker, archer, and forager who has a pickling recipe for every vegetable in the garden. Unfortunately, none of these skills earn her a lot of money. And when the taxes go up on her father’s farm, she’s not sure how to help him keep the property.",168,342,Kindle Edition,"9,516","Fantasy, Urban Fantasy, Magic, Science Fiction Fantasy, Adventure, Novels, Fiction"
923,"Walking Disaster (Beautiful, #2)",Jamie McGuire,4.15,"200,475","First published April 2, 2013","Finally, the highly anticipated follow-up to the New York Times bestseller Beautiful Disaster.","12,830",448,Paperback,"9,461","Romance, New Adult, Contemporary, Contemporary Romance, Young Adult, College, Fiction"
919,Illusions: The Adventures of a Reluctant Messiah,Richard Bach,4.15,"64,838","First published January 1, 1977","In the cloud-washed airspace between the cornfields of Illinois and blue infinity, a man puts his faith in the propeller of his biplane. For disillusioned writer and itinerant barnstormer Richard Bach, belief is as real as a full tank of gas and sparks firing in the cylinders...until he meets Donald Shimoda — former mechanic and self-described messiah who can make wrenches fly and Richard's imagination soar....","2,955",144,Paperback,"9,517","Fiction, Philosophy, Spirituality, Fantasy, Classics, Self Help, Religion"
918,"The Monarch's Ring (The Lost Artefacts, #2)",Johnathon Nicolaou,4.48,414,"First published May 4, 2022","The group is split up. They were betrayed. Lincoln and Liv are trapped in the lost dimension, Nowhere and El and AJ are under house arrest, all the while their enemies grow closer to discovering the whereabouts of Gedeon’s lost ring…",26,344,Kindle Edition,"9,524","Fantasy, Young Adult, Urban Fantasy, Fiction, Young Adult Fantasy"
